PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",selective serotonin reuptake inhibitors,CHEMICAL,lead to,respiratory depression,MENTAL_HEALTH
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",fluvoxamine,CHEMICAL,lead to,death,DISEASE
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",fluvoxamine,CHEMICAL,lead to,respiratory depression,MENTAL_HEALTH
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",azol groups,CHEMICAL,lead to,death,DISEASE
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",azol groups,CHEMICAL,lead to,respiratory depression,MENTAL_HEALTH
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",antifungals,CHEMICAL,lead to,death,DISEASE
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",antifungals,CHEMICAL,lead to,respiratory depression,MENTAL_HEALTH
25888122,We hypothesized that the tissue specificity of SRS arises from differential sensitivity to spermidine toxicity or spermine deficiency.,SRS,DISEASE,arise from differential sensitivity to,spermine deficiency,CHEMICAL
25888122,We hypothesized that the tissue specificity of SRS arises from differential sensitivity to spermidine toxicity or spermine deficiency.,SRS,DISEASE,arise from differential sensitivity to,spermidine toxicity,CHEMICAL
27112524,"With respect to individual beverages, caffeinated tea intake was associated with slight reductions in fecundability among females, and caffeinated soda and energy drink intake were associated with reduced fecundability among males.",caffeinated tea intake,CHEMICAL,associated with,reduced fecundability,DISEASE
30504369,Hypoactive sexual desire disorder (HSDD) is hypothesised to manifest in postmenopausal women at onset of menopause due to decreased oestrogen levels.,desire disorder,MENTAL_HEALTH,decreased,oestrogen levels,CHEMICAL
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",Severe psychiatric side effects,DISEASE,documented including,anxiety,MENTAL_HEALTH
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",Severe psychiatric side effects,DISEASE,documented including,persecutory delusions,MENTAL_HEALTH
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",Severe psychiatric side effects,DISEASE,documented including,panic attacks,DISEASE
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",Severe psychiatric side effects,DISEASE,documented including,dissociative psychosis,MENTAL_HEALTH
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",Severe psychiatric side effects,DISEASE,documented including,paranoia,MENTAL_HEALTH
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",mefloquine intoxication,CHEMICAL,documented including,anxiety,MENTAL_HEALTH
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",mefloquine intoxication,CHEMICAL,documented including,persecutory delusions,MENTAL_HEALTH
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",mefloquine intoxication,CHEMICAL,documented including,panic attacks,DISEASE
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",mefloquine intoxication,CHEMICAL,documented including,dissociative psychosis,MENTAL_HEALTH
23771936,"Severe psychiatric side effects due to mefloquine intoxication are well documented, including anxiety, panic attacks, paranoia, persecutory delusions, dissociative psychosis, and anterograde amnesia.",mefloquine intoxication,CHEMICAL,documented including,paranoia,MENTAL_HEALTH
23771936,Exposure to the drug has been associated with acts of violence and suicide.,drug,BIOCHEMICAL,associated with acts of,suicide,MENTAL_HEALTH
33659255,"Functional neurologic disorders (FNDs), also called conversion disorder (previously called hysteria), can show almost all the symptoms of other neurological diseases, including both physical (for example, seizure, weakness, fatigue) and psychological (for instance, depression, anxiety) symptoms.",neurologic disorders,DISEASE,show symptoms of,anxiety,MENTAL_HEALTH
33659255,"Functional neurologic disorders (FNDs), also called conversion disorder (previously called hysteria), can show almost all the symptoms of other neurological diseases, including both physical (for example, seizure, weakness, fatigue) and psychological (for instance, depression, anxiety) symptoms.",neurologic disorders,DISEASE,show symptoms of,fatigue,MENTAL_HEALTH
33659255,"Functional neurologic disorders (FNDs), also called conversion disorder (previously called hysteria), can show almost all the symptoms of other neurological diseases, including both physical (for example, seizure, weakness, fatigue) and psychological (for instance, depression, anxiety) symptoms.",neurologic disorders,DISEASE,show symptoms of,depression,MENTAL_HEALTH
33659255,"Functional neurologic disorders (FNDs), also called conversion disorder (previously called hysteria), can show almost all the symptoms of other neurological diseases, including both physical (for example, seizure, weakness, fatigue) and psychological (for instance, depression, anxiety) symptoms.",neurologic disorders,DISEASE,show symptoms of,seizure,DISEASE
11206102,The combination of a nitrate with a beta-blocker is particularly useful because it reduces the risk of heart failure by lowering left ventricular end-diastolic pressure and volume and by attenuating the negative inotropic effect of the betablocker.,nitrate,CHEMICAL,have the combination with,beta-blocker,CHEMICAL
11206102,The group of Chierchia demonstrated that trimetazidine improved ischemic regional myocardial dysfunction at rest and during stress-induced ischemia in 15 patients with chronic coronary artery disease without affecting the hemodynamic determinants of myocardial oxygen consumption.,trimetazidine,CHEMICAL,improve ischemic regional myocardial dysfunction at rest and during stress-induced ischemia in,chronic coronary artery disease,DISEASE
11206102,The group of Chierchia demonstrated that trimetazidine improved ischemic regional myocardial dysfunction at rest and during stress-induced ischemia in 15 patients with chronic coronary artery disease without affecting the hemodynamic determinants of myocardial oxygen consumption.,trimetazidine,CHEMICAL,improve ischemic regional myocardial dysfunction at rest and during,stress-induced ischemia,DISEASE
11206102,The group of Chierchia demonstrated that trimetazidine improved ischemic regional myocardial dysfunction at rest and during stress-induced ischemia in 15 patients with chronic coronary artery disease without affecting the hemodynamic determinants of myocardial oxygen consumption.,trimetazidine,CHEMICAL,improve,ischemic regional myocardial dysfunction,DISEASE
11206102,There is recent demonstration that trimetazidine improves the contractile response of left ventricular hibernating myocardium in patients with ischemic heart disease.,trimetazidine,CHEMICAL,improve contractile response of left ventricular hibernating myocardium in patients with,ischemic heart disease,DISEASE
11206102,Belardinelli et al. showed that trimetazidine improved the contractile response of dysfunctional myocardial to low-dose dobutamine in patients with ischemic heart disease and left ventricular function.,trimetazidine,CHEMICAL,improve contractile response of dysfunctional myocardial to low-dose dobutamine in patients with,ischemic heart disease,DISEASE
11206102,Belardinelli et al. showed that trimetazidine improved the contractile response of dysfunctional myocardial to low-dose dobutamine in patients with ischemic heart disease and left ventricular function.,trimetazidine,CHEMICAL,improve contractile response of dysfunctional myocardial to,low-dose dobutamine,CHEMICAL
11206102,Belardinelli et al. showed that trimetazidine improved the contractile response of dysfunctional myocardial to low-dose dobutamine in patients with ischemic heart disease and left ventricular function.,low-dose dobutamine,CHEMICAL,in patients with,ischemic heart disease,DISEASE
25826750,We conducted a phase I clinical trial of bavituximab in combination with paclitaxel in patients with HER2-negative metastatic breast cancer.,paclitaxel,CHEMICAL,in patients with,HER2-negative metastatic breast cancer,DISEASE
25826750,Bavituximab in combination with paclitaxel is well tolerated for treatment of patients with metastatic breast cancer with promising results observed in terms of clinical RRs and PFS.,Bavituximab,CHEMICAL,tolerated for treatment of patients with,metastatic breast cancer,DISEASE
